Date,Forecast
2019-01-01,64.27083617856516
2019-02-01,67.28559119211319
2019-03-01,70.6214586890825
2019-04-01,67.48282967202519
2019-05-01,67.97671082579534
2019-06-01,64.41437781439203
2019-07-01,65.24907066272515
2019-08-01,69.87654785163365
2019-09-01,68.19146624253639
2019-10-01,64.48574233800245
2019-11-01,60.7348951642178
2019-12-01,63.20461826739369
2020-01-01,60.30332585359613
2020-02-01,63.9586420432866
2020-03-01,65.44898990059077
2020-04-01,64.34667505104676
2020-05-01,65.52040111021334
2020-06-01,63.97700601574147
2020-07-01,66.21742536931846
2020-08-01,69.10496633179767
2020-09-01,65.90069094702275
2020-10-01,59.70925070583623
2020-11-01,57.38313599973772
2020-12-01,62.533793403917606
2021-01-01,59.984057478879386
2021-02-01,62.88608993483873
2021-03-01,66.13523583510627
2021-04-01,62.75734827854913
2021-05-01,64.95567345080414
2021-06-01,63.24686220156677
2021-07-01,63.96232214761048
2021-08-01,66.48358499607664
2021-09-01,63.849953582301055
2021-10-01,58.872265918535035
2021-11-01,52.586268022470925
2021-12-01,59.0854593489843
2022-01-01,56.36049331771519
2022-02-01,59.54921197119248
2022-03-01,62.243311959413674
2022-04-01,59.69838266658057
2022-05-01,60.99999036115579
2022-06-01,58.74047425125166
2022-07-01,60.00070600325575
2022-08-01,63.3315906830176
2022-09-01,60.81858605964205
2022-10-01,55.85387522191356
2022-11-01,51.70960856923827
2022-12-01,56.44501720739371
2023-01-01,53.72056523590724
2023-02-01,56.966636481188814
2023-03-01,59.4515576799118
2023-04-01,57.10166562823043
2023-05-01,58.65892650477663
2023-06-01,56.81604172202478
2023-07-01,58.21581837310313
2023-08-01,61.133311302543454
2023-09-01,58.35444770568539
2023-10-01,52.98464252306909
2023-11-01,48.72399716263048
2023-12-01,54.18010597432395
2024-01-01,51.51256572392231
2024-02-01,54.62721118625405
2024-03-01,57.43119843633366
